canonical_smiles,selfies,logBB
COc1ccc(N(c2nc(C)c(C)s2)S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1,[C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][Branch1][=C][C][=N][C][Branch1][C][C][=C][Branch1][C][C][S][Ring1][#Branch1][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring2][Ring1][C][C][N][C][C][C][C][N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.37
O=C(OCc1ccccc1)N1CCC(CNc2ncccn2)CC1,[O][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][Branch1][O][C][N][C][=N][C][=C][C][=N][Ring1][=Branch1][C][C][Ring1][=C],-0.37
CC(=O)C1CSc2ccccc2N1CCC1CCCCN1C,[C][C][=Branch1][C][=O][C][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][C][C][C][C][C][C][N][Ring1][=Branch1][C],-0.36
CC1c2ccccc2N(C(N)=O)c2ccccc2C1C,[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][C][C],-0.34
NC(=O)C1c2ccccc2C2OC2c2ccccc21,[N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S],-0.34
NC(=O)N1c2ccccc2C2CC2c2ccccc21,[N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S],-0.34
Cc1nc2n(c(=O)c1CCN1CCC(c3coc4cc(F)ccc34)CC1)CCCC2,[C][C][N][=C][N][Branch2][Ring2][Ring2][C][=Branch1][C][=O][C][=Ring1][#Branch1][C][C][N][C][C][C][Branch1][P][C][=C][O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch2][Ring1][#Branch1][C][C][Ring1][S][C][C][C][C][Ring2][Ring1][O],-0.32
CC(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,[C][C][=Branch1][C][=O][C][N][N][=C][Branch2][Ring1][Branch2][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][N][C][=C][C][=C][C][=Ring1][#C][Ring1][=Branch1][C][=C][C][Ring2][Ring1][Branch1][=O],-0.31
NC(=O)N1c2ccccc2C2OC2c2ccccc21,[N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S],-0.3
CC12CCC3c4ccc(O)cc4CCC3C1CC(F)C2O,[C][C][C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C][Ring1][O][C][Ring1][#C][C][C][Branch1][C][F][C][Ring2][Ring1][Ring1][O],-0.3
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,[C][C][C][Branch1][=Branch2][C][=C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][Ring1][=C][=O],-0.3
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,[C][C][Branch1][C][C][C][=N][C][Branch2][Ring1][=C][C][N][=C][N][C][=Ring1][Branch1][C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Ring1][=C][=N][O][Ring2][Ring1][=Branch1],-0.3
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](F)[C@@H]2O,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C@H1][Branch1][C][F][C@@H1][Ring2][Ring1][Ring1][O],-0.3
CC1(C)SSC(C)(C)[C@@H](NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)N[C@@H]1C(=O)O,[C][C][Branch1][C][C][S][S][C][Branch1][C][C][Branch1][C][C][C@@H1][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][C][N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Ring2][Ring2][Branch2][C][=Branch1][C][=O][O],-0.3
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O,[C][C][Branch1][C][C][S][S][C][Branch1][C][C][Branch1][C][C][C@@H1][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][Ring2][Ring2][Branch2][C][=Branch1][C][=O][O],-0.3
CC1C=Nc2c1c(=O)[nH]c(=O)n2C,[C][C][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][N][Ring1][Branch2][C],-0.3
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,[C][C][O][C][=Branch1][C][=O][C][N][=C][N][C][=Ring1][Branch1][C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][Ring1][=C],-0.3
Cn1cnc2c1c(=O)[nH]c(=O)n2C,[C][N][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][N][Ring1][Branch2][C],-0.3
O=C(Nc1cc(Cl)ccc1O)Nc1cc(C(F)(F)F)ccc1Cl,[O][=C][Branch1][=C][N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O][N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring1][#Branch2][Cl],-0.3
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,[C][C][C@@][Branch1][C][O][C][=Branch1][C][=O][O][C][C][=C][Ring1][Branch2][C][=C][N][Branch1][Branch1][C][Ring1][=Branch1][=O][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][Ring1][#C],-0.29
CC[S@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,[C][C][S@@][Branch1][C][O][C][=Branch1][C][=O][O][C][C][=C][Ring1][Branch2][C][=C][N][Branch1][Branch1][C][Ring1][=Branch1][=O][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][Ring1][#C],-0.29
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][O],-0.28
CC(Cl)Cl,[C][C][Branch1][C][Cl][Cl],-0.28
CN(C)Cc1ccnc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)c1,[C][N][Branch1][C][C][C][C][=C][C][=N][C][Branch2][Ring1][Branch2][C][=C][C][=C][C][Branch1][=C][N][C][NH1][C][=C][C][=Ring1][Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#C][=C][Ring2][Ring1][Branch1],-0.28
Cc1cc(Br)cc(C)c1NC1=NCCN1,[C][C][=C][C][Branch1][C][Br][=C][C][Branch1][C][C][=C][Ring1][Branch2][N][C][=N][C][C][N][Ring1][Branch1],-0.28
N=C(N)SCCF,[N][=C][Branch1][C][N][S][C][C][F],-0.27
CN(C)Cc1ccc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)o1,[C][N][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][C][Branch1][=C][N][C][NH1][C][=C][C][=Ring1][Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#C][O][Ring2][Ring1][Ring2],-0.27
CN(C)c1ccc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)o1,[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][C][Branch1][=C][N][C][NH1][C][=C][C][=Ring1][Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#C][O][Ring2][Ring1][Ring2],-0.27
C[C@@H]1NC(=O)C2(CCCC2)NC1=O,[C][C@@H1][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][N][C][Ring1][O][=O],-0.26
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3csc(I)c3)CC2)C1=O,[C][N][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][N][C][C][N][Branch2][Ring1][C][C][C][C][C][=Branch1][C][=O][C][=C][S][C][Branch1][C][I][=C][Ring1][=Branch1][C][C][Ring1][P][C][Ring2][Ring1][O][=O],-0.25
CN(C)C(=O)C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,[C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][N][C][C][C][N][C][C][C][Branch1][C][O][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring1][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.25
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,[C][N][C][C][=C][Branch1][=C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][N][=C][N][Ring1][N][C][C][=C][S][C][=Ring1][Branch1][C][Ring2][Ring1][Ring2][=O],-0.25
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CC(C)(C)NC(C)(C)C1,[C][N][C][=Branch1][C][=O][C][=C][Branch2][Ring1][C][N][C][C][C][C][C][Branch1][=Branch1][C][C][C][Ring1][Ring2][C][C][Ring1][=Branch2][N][=C][Branch1][Ring1][C][#N][N][=C][Ring2][Ring1][Ring1][O][C][C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][C][Ring1][#Branch2],-0.24
O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,[O][=C][Branch2][Ring1][=Branch2][N][C][C][C][O][C][=C][C][=C][C][Branch1][#Branch2][C][N][C][C][C][C][C][Ring1][=Branch1][=C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.24
O=[N+]([O-])c1nccn1CCCF,[O][=N+1][Branch1][C][O-1][C][=N][C][=C][N][Ring1][Branch1][C][C][C][F],-0.24
C#CCO,[C][#C][C][O],-0.23
C=CCc1ccccc1OCC(O)CNC(C)C,[C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C],-0.23
CC(C)(O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,[C][C][Branch1][C][C][Branch1][C][O][C][N][N][=C][Branch2][Ring1][Branch2][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][N][C][=C][C][=C][C][=Ring1][#C][Ring1][=Branch1][C][=C][C][Ring2][Ring1][Branch1][=O],-0.23
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,[C][=C][C][C][Branch1][Ring2][C][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][Ring1][O][=O],-0.22
CCCN(CC1CC1)c1nc(C)nc2c1CCN2c1ccc(Cl)cc1Cl,[C][C][C][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=N][C][Branch1][C][C][=N][C][=C][Ring1][#Branch1][C][C][N][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],-0.22
COc1cc(N)c(Cl)cc1C(=O)NC1CCNCC1OC,[C][O][C][=C][C][Branch1][C][N][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][=Branch1][C][=O][N][C][C][C][N][C][C][Ring1][=Branch1][O][C],-0.22
COc1ccc(N2CCCC2=O)cc1CNC1CCCNC1c1ccccc1,[C][O][C][=C][C][=C][Branch1][=Branch2][N][C][C][C][C][Ring1][Branch1][=O][C][=C][Ring1][N][C][N][C][C][C][C][N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.22
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,[C][C@][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@H1][C@@H1][Ring1][O][C@@H1][Branch1][C][O][C][C@@][Branch1][C][C][C@H1][Ring1][Branch2][C][C][C@][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],-0.22
Cc1cccc(Cl)c1Nc1nc2ccc(N3CCNC(C)C3)nc2n2cncc12,[C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][N][C][=N][C][=C][C][=C][Branch1][N][N][C][C][N][C][Branch1][C][C][C][Ring1][#Branch1][N][=C][Ring1][=N][N][C][=N][C][=C][Ring2][Ring1][Ring2][Ring1][Branch1],-0.22
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@H](CO)C3)c2n1,[N][C][=N][C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][=C][N][=C][N][Branch1][N][C@H1][C][=C][C@H1][Branch1][Ring1][C][O][C][Ring1][#Branch1][C][Ring1][N][=N][Ring2][Ring1][Ring2],-0.22
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,[O][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F],-0.22
C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,[C][=C][C@H1][C][N][C][C][C][Ring1][=Branch1][C][C@@H1][Ring1][=Branch1][C@@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2],-0.21
CC(C)Cc1ccc(C(C)C(=O)O)cc1,[C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][#Branch2][C][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][Ring1][O],-0.2
Fc1cccc(F)c1[NH+]=C1NCCN1,[F][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][NH1+1][=C][N][C][C][N][Ring1][Branch1],-0.2
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2cnn(CCN3CCCC3)c2c1,[O][=C][Branch2][Ring1][=Branch1][C][C][=C][C][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C][N][C][=C][C][=C][C][=N][N][Branch1][#Branch2][C][C][N][C][C][C][C][Ring1][Branch1][C][Ring1][N][=C][Ring1][S],-0.2
O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1,[O][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][Branch1][O][C][N][C][=C][C][=N][C][=N][Ring1][=Branch1][C][C][Ring1][=C],-0.2
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,[S][=C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][N][C][C][C][Branch1][Branch2][C][=C][N][=C][NH1][Ring1][Branch1][C][C][Ring1][O],-0.2
CCNC(=O)C(C(N)=O)c1ccccc1,[C][C][N][C][=Branch1][C][=O][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.19
NC(=O)OCC(COC(N)=O)c1ccccc1,[N][C][=Branch1][C][=O][O][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.19
CCCC(C)(COC(N)=O)COC(=O)NC,[C][C][C][C][Branch1][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][O][C][=Branch1][C][=O][N][C],-0.18
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,[C][C@][C][=C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@@H1][C@@H1][Ring1][O][C][Branch1][C][O][C][C@@][Branch1][C][C][C@H1][Ring1][Branch2][C][C][C@][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],-0.18
C=CC=C,[C][=C][C][=C],-0.17
CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,[C][C][C][C][N][Branch2][Ring1][N][C][C][C@H1][C][C][C][N][Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][C][Ring2][Ring1][#Branch1],-0.17
COC(=O)C1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)CC1C,[C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Branch1][N][C][=C][C][=C][C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][O][C][C][Ring2][Ring1][Ring1][C],-0.17
C[n+]1ccccc1/C=N/O,[C][N+1][=C][C][=C][C][=C][Ring1][=Branch1][/C][=N][/O],-0.17
O=[N+]([O-])c1nccn1CCCCCCCCF,[O][=N+1][Branch1][C][O-1][C][=N][C][=C][N][Ring1][Branch1][C][C][C][C][C][C][C][C][F],-0.17
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,[C][C][N][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][N][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Ring1][=C][Ring2][Ring1][=Branch1],-0.16
Cn1nnc2ccc(C(c3ccc(Cl)cc3)n3cncn3)cc21,[C][N][N][=N][C][=C][C][=C][Branch2][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=N][C][=N][Ring1][Branch1][C][=C][Ring2][Ring1][Ring1][Ring2][Ring1][=Branch1],-0.16
NC1=NCC2c3ccccc3Cc3ccccc3N12,[N][C][=N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][C][Ring1][#C],-0.16
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,[C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=C][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C][C][Branch1][=Branch1][C][Branch1][C][C][=O][=C][Ring2][Ring1][C],-0.15
COc1ccc(S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1,[C][O][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][N][C][C][C][C][N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.15
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,[O][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring2][Ring1][C][Ring1][#Branch1],-0.15
CC(=O)/C=C/c1cccs1,[C][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][S][Ring1][Branch1],-0.14
CC(C)Nc1cccnc1N1CCNCC1,[C][C][Branch1][C][C][N][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][C][N][C][C][Ring1][=Branch1],-0.14
CCC1(CC)C(=O)NC(=O)NC1=O,[C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][Ring1][#Branch2][=O],-0.14
CCOC(=O)c1ncn2c1CN(CC[18F])C(=O)c1cc(F)ccc1-2,[C][C][O][C][=Branch1][C][=O][C][N][=C][N][C][=Ring1][Branch1][C][N][Branch1][Ring2][C][C][18F][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][Ring1][S],-0.14
ClCCCl,[Cl][C][C][Cl],-0.14
O=c1cc(NC2CCN(Cc3ccc4c(c3)CCO4)CC2)c2cc(Cl)ccc2o1,[O][=C][C][=C][Branch2][Ring1][N][N][C][C][C][N][Branch1][P][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][O][Ring1][=Branch1][C][C][Ring1][S][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O][Ring2][Ring1][N],-0.14
COC(C)=O,[C][O][C][Branch1][C][C][=O],-0.13
C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,[C][=C][C][N][C][=C][Branch2][Ring1][=N][C][=C][C][Branch1][S][C][=Branch1][C][=O][N][C][C][C][Branch1][C][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][#C][Ring2][Ring1][C][C][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][C][Ring2][Ring1][=Branch2],-0.13
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,[C][C][Branch1][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],-0.12
O=[N+]([O-])c1c(Cc2ccccc2)c[nH]c1NCCSCc1ccccn1,[O][=N+1][Branch1][C][O-1][C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][NH1][C][=Ring1][N][N][C][C][S][C][C][=C][C][=C][C][=N][Ring1][=Branch1],-0.12
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,[C][=C][C][C][Branch1][=Branch2][C][Branch1][C][C][C][#C][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][#C][=O],-0.1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@][Ring2][Ring1][Ring1][Ring1][S][C],-0.1
CC(F)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,[C][C][Branch1][C][F][O][C][=Branch1][C][=O][C][N][=C][N][C][=Ring1][Branch1][C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][Ring1][=C],-0.1
CN(C)Cc1ccc(-c2c[nH]c(=O)c3cccc(O)c23)cc1,[C][N][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][NH1][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][N][Ring1][#Branch1][C][=C][Ring2][Ring1][C],-0.1
COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,[C][O][C][C][C][N][C][C][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][N][C][=C][Ring1][Branch2][O][C][C][Ring1][Branch1][C][C][Ring2][Ring1][Ring2],-0.1
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][N][C][=C][Ring2][Ring1][C],-0.1
Cc1c(I)c(=O)n(-c2ccccc2)n1C,[C][C][=C][Branch1][C][I][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=N][C],-0.1
Cc1nc(C)c(C)nc1C,[C][C][=N][C][Branch1][C][C][=C][Branch1][C][C][N][=C][Ring1][Branch2][C],-0.1
ClCC(Cl)Cl,[Cl][C][C][Branch1][C][Cl][Cl],-0.1
O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2ccc(Cl)cc2)CC1,[O][=S][=Branch1][C][=O][Branch1][=C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2][N][C][C][C][C][Ring1][Branch1][C][C][N][C][C][C][Branch1][=N][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring1][=C],-0.1
OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,[O][C][C][=N][C][=C][N][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][F][=N][C][Ring2][Ring1][Ring1],-0.1
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1c(Br)cccc1-2,[C][C][Branch1][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][N][=C][N][C][=Ring1][Branch1][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][Br][C][=C][C][=C][Ring1][#Branch1][Ring1][S],-0.09
CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,[C][C][Branch1][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][N][=C][N][C][=Ring1][Branch1][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][Br][C][=C][C][=C][Ring1][#Branch1][Ring1][S],-0.09
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(Br)ccc1-2,[C][C][Branch1][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][N][=C][N][C][=Ring1][Branch1][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][Ring1][S],-0.09
CC1(O)NC=C2CN=C(c3ccccc3F)c3cc(Cl)ccc3N21,[C][C][Branch1][C][O][N][C][=C][C][N][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][N][Ring2][Ring1][Ring1][Ring2][Ring1][#Branch1],-0.07
